,0
0,"Keratin 8 is a major component of intermediate filaments in single-layered epithelia of the gastrointestinal tract. Keratin 8 deficient mice display signs of colitis and diarrhoea characteristic for inflammatory bowel disease. Very recently, two keratin 8 mutations, Y54H and G62C, were identified. We investigated if these keratin 8 missense mutations were associated with inflammatory bowel disease. In total, 217 German patients with Crohn' s disease, 131 German patients with ulcerative colitis, and 560 German control subjects were enrolled in this study. Samples were analysed by PCR amplification and subsequent melting curve analysis using fluorescence resonance energy transfer probes. The G62C mutation was detected in five (2.3%) patients presenting with Crohn's disease and in three (2.3%) with ulcerative colitis. In comparison, 9 (1.6%) out of 560 controls were heterozygous for this mutation. No patient or control was homozygous for this mutation. Patients carrying one mutant allele did not show any noticeable characteristics in their corresponding phenotype. In contrast, the Y54H mutation was observed in neither any of the 348 patients with inflammatory bowel disease nor in any control subject.
Our data indicate that both keratin 8 mutations, G62C and Y54H, do not play a relevant pathogenic role in inflammatory bowel disease."
1,"Tamoxifen (TAM), a nonsteroidal anticancer agent, is used in the treatment of breast cancer. In the current study, we investigated whether TAM induces apoptosis in tumor cells by altering the expression of Fas and Fas ligand (FasL). Several tumor cell lines were used to test the ability of TAM to induce apoptosis, which was studied using the TUNEL assay. The effect of TAM on the expression of Fas and FasL was analyzed using a flow cytometer. TAM was found to suppress the growth of an estrogen receptor-positive human mammary tumor cell line (T-47D) by inducing apoptosis. Interestingly, TAM also induced apoptosis in an estrogen receptor-negative murine T cell lymphoma cell line, EL-4. The ability of TAM to induce apoptosis in T-47D and EL-4 tumor cells correlated with the increased expression of FasL but not Fas on the tumor cells. Similar to TAM, a metalloproteinase (MP) inhibitor, which is known to increase the expression of membrane-bound FasL, was found to induce apoptosis in both T-47D and EL-4 tumor cells by increasing the expression of FasL but not Fas. Furthermore, both TAM and the MP inhibitor failed to induce apoptosis in L1210 tumor cell lines that failed to express FasL.
The current study demonstrates that TAM can induce apoptosis in Fas(+) tumor cells by upregulating FasL."
2,"This study investigated the antiviral efficacy and safety of telbivudine in combination with pegylated interferon (PegIFN) alpha-2a in chronic hepatitis B (CHB) patients. This was a randomized, open-label, multicentre study, in treatment-naïve patients with HBeAg-positive CHB, comparing the efficacy and safety of telbivudine in combination with PegIFN alpha-2a with telbivudine monotherapy and PegIFN alpha-2a monotherapy. The study was terminated early due to increased rates of peripheral neuropathy in the combination-therapy group. Of the 159 patients randomized (from 300 planned) 50 were assigned to combination therapy, 55 to telbivudine, 54 to PegIFN, and 110 (18, 49, and 43, respectively) reached week 24. Peripheral neuropathy occurred in 7/50, 1/54, and 0/54 patients in the three groups of safety populations, respectively. No relationship between the occurrence of peripheral neuropathy and other variables (e.g., pharmacokinetic data, treatment efficacy, ALT levels, creatine kinase elevations) were observed. At week 24, undetectable HBV DNA (<300 copies/ml) was achieved by 71% (12/17), 35% (17/48), and 7% (3/42) of patients, with available data receiving combination therapy, telbivudine monotherapy and PegIFN monotherapy, respectively (p = 0.022 for combination therapy vs. telbivudine; p<0.0001 for combination therapy vs. PegIFN).
Combination therapy carried an increased risk of peripheral neuropathy. Despite the rapid and profound reductions in HBV DNA levels, combination therapy with telbivudine and PegIFN should not be used."
3,"Monocyte chemoattractant protein-1 (MCP-1) is a potent chemokine and plays an important role in atherosclerosis of Type 2 diabetes. The aim of this study was to investigate the methylation status of CpG sites in the MCP-1 promoter in Type 2 diabetic patients and its correlation to serum MCP- 1 level, and blood glucose level. The 32 patients with Type 2 diabetes and 15 healthy controls were enrolled into the study. Bodymass index, blood pressure, blood lipid, blood glucose, glycosylated hemoglobin (HbA1c), and serum MCP-1 were measured. Genomic DNA was isolated fromthe peripheral blood mononuclear cells (PBMC). Methylation status of CpG sites in theMCP-1 promoter was determined using methylation specific polymerase chain reaction. The promoter region (2890-3050 bp) was predominantly methylated in PBMC from controls.Methylation of CpGmotifs were less methylated in the patients than in the controls (25% vs 80%; p<0.001), while the level of MCP-1 in serum was higher in patients with Type 2 diabetes (193.95±74.96 vs 88.46±55.10; p<0.001). MCP-1 promoter methylation was significantly correlated to serum MCP-1, HbA1c, fasting blood glucose, and triglyceride.
These data suggest that hypomethylation of CpG sites in the MCP-1 promoter region may be affected by blood glucose and TG, which then increase the serum MCP-1 level and may play a role in the vascular complications of Type 2 diabetes."
4,"To analyze the characteristics of visits to the emergency services that result from falls and to identify the factors associated with these visits. A cross-sectional study of 12,617 visits that resulted from falls, recorded in the National Injury Surveillance System, was carried out. The data were collected in 23 Brazilian capitals and the Federal District between September and November 2009 using cluster sampling. Correspondence analysis was used, which allowed for the joint observation of a large number of qualitative variables. Most of the victims were male (56.5%), aged 0 to 19 years (45.7%), and identified as non-white skin color (62.2%). The majority of the falls occurred at home (54.6%) and in the street (17.4%); 14.3% were work-related. The predominant types were ""falls on the same level"" (57.0%) and ""falls from a ladder/step"" (15.6%). Most of the injuries were classified as sprains, dislocations, bruises, cuts, or lacerations (68.3%). Falls among children occurred mostly at home; among adolescents at school; and among young people at sports facilities. Falls among adults were associated with the work place, including falls from scaffolding, roofs, stairs/steps, and holes and were linked to alcohol use. Falls on the same level resulted in less serious injuries, mostly on the upper and lower limbs, and falls from scaffolding and roofs were associated with more severe injuries and hospitalization.
The results show that strategies to prevent falls should target residences, schools, and work environments."
5,"Recent studies suggest a close local link between bone marrow adiposity and endosteal bone formation. Using magnetic resonance imaging, we examined whether the relation between the amount of marrow fat and cortical bone is present at multiple sites along the diaphyses of the long bones of young and old males and females. The relations between values for cortical bone area and percent marrow fat in each 5-mm section along the midthird of both femoral shafts were determined using magnetic resonance imaging in eight healthy young (aged <25 yr), and nine healthy old (aged >55 yr) men and women. Strong inverse correlations were observed between values for cortical bone area and percent marrow fat along the shafts of all 34 femurs; r values between -0.54 to -0.97; all P values = 0.01-0.0001. The strength of this local association was comparable in the young and the elderly and in males and females.
Our results underscore the strength of the local connections between bone and marrow adiposity. Increasing our understanding of the mechanism for this association could lead to better diagnosis and treatment approaches for osteoporosis."
6,"To evaluate the efficacy of Bawu Decoction (, BWD, Palmul-tang in Korean) against benign prostatic hyperplasia (BPH). Twenty-four male Wistar rats were divided into 4 groups, with 6 rats in each group. The 4 study groups included sham-operated group (CON), BPH model group, fifinasteride-treated group, and BWD-treated group. All the groups except CON group received a subcutaneous injection of 10 mg/kg of testosterone, while CON group received saline. Finasteride at a dose of 5 mg/kg was administered to the finasteride-treated group for a period of 4 weeks. BWD group received BWD at a dose of 200 mg/kg for 4 weeks. The prostatic weight, prostate weight to body weight ratio, relative prostate weight ratio, serum testosterone and dihydrotestosterone (DHT) level, and histological analysis of prostatic tissue were analyzed. Compared to BPH model group, BWD administration was associated with reductions in prostatic weight, prostate and relative prostate weight ratio weight to body weight ratio (P<0.05). The concentration of serum testosterone and DHT were higher in BPH group compared with CON group (P<0.05). Administration of finasteride and BWD suppressed the elevation of serum testosterone and DHT levels signifificantly (both P<0.05). In addition, BWD suppressed the growth of prostatic tissue (P<0.05).
BWD has suppressant effects on development of BPH through inhibition of serum testosterone and DHT."
7,"To assess the long-term prognostic values of baseline demographic data, occurrence of vectorcardiographic signs of reperfusion, left ventricular function and coronary angiographic features. Longitudinal study of morbidity and mortality. Coronary care unit at Danderyd Hospital, Stockholm, Sweden. A total of 222 patients (mean age 61 years) with a suspected acute myocardial infarction treated with thrombolysis were investigated and followed for 2-5 years (mean 1216 days). Death or a new myocardial infarction. Age above 55 years (P < 0.05), a previous diagnosis of diabetes mellitus (P < 0.005), hypertension (P < 0.05), heart failure (P < 0.001) and myocardial infarction (P < 0.05), a previous use of beta-blockers (P < 0.05) and an ejection fraction below 60% (P < 0.01) were predictors for death or a new myocardial infarction in univariate analysis. Sex, a previous history of smoking or angina pectoris, vectorcardiographic signs of reperfusion or degree of coronary artery disease had no prognostic values. In multivariate analysis including age above 55 years, a previous diagnosis of diabetes mellitus, hypertension and myocardial infarction, and an ejection fraction below 60%, only age (P < 0.05), diabetes mellitus (P < 0. 01) and ejection fraction (P < 0.05) were predictors for death or a new myocardial infarction.
The results of the present study emphasize the importance of diabetes mellitus as a long-term prognostic risk factor in patients with myocardial infarction treated with thrombolysis. Further studies are needed to determine the mechanisms behind this increased risk."
8,"Cobalamin deficiency is prevalent in vegetarians and has been associated with increased risk of osteoporosis. To examine the association between cobalamin status and bone mineral density in adolescents formerly fed a macrobiotic diet and in their counterparts. In this cross-sectional study bone mineral density (BMD) and bone mineral content (BMC) were determined by DEXA in 73 adolescents (9-15 y) who were fed a macrobiotic diet up to the age of 6 years followed by a lacto-(-ovo-) vegetarian or omnivorous diet. Data from 94 adolescents having consumed an omnivorous diet throughout their lives were used as controls. Serum concentrations of cobalamin, methylmalonic acid (MMA) and homocysteine were measured and calcium intake was assessed by questionnaire. Analysis of covariance (MANCOVA) was performed to calculate adjusted means for vitamin B12 and MMA for low and normal BMC and BMD groups. Serum cobalamin concentrations were significantly lower (geometric mean (GM) 246 pmol/L vs. 469 pmol/L) and MMA concentrations were significantly higher (GM 0.27 micromol/L vs. 0.16 micromol/L) in the formerly macrobiotic-fed adolescents compared to their counterparts. In the total study population, after adjusting for height, weight, bone area, percent lean body mass, age, puberty and calcium intake, serum MMA was significantly higher in subjects with a low BMD (p = 0.0003) than in subjects with a normal BMD. Vitamin B12 was significantly lower in the group with low BMD (p = 0.0035) or BMC (p = 0.0038) than in the group with normal BMD or BMC. When analyses were restricted to the group of formerly macrobiotic-fed adolescents, MMA concentration remained higher in the low BMD group compared to the normal BMD group.
In adolescents, signs of an impaired cobalamin status, as judged by elevated concentrations of methylmalonic acid, were associated with low BMD. This was especially true in adolescents fed a macrobiotic diet during the first years of life, where cobalamin deficiency was more prominent."
9,"Telomere length must be maintained throughout cancer cell progression and proliferation. In most tumours, telomerase activity maintains telomere length. Therefore, telomerase is a target for cancer treatments. However, some cancer cells maintain telomere length through an alternative mechanism termed 'alternative lengthening of telomeres'. To determine how telomerase inhibition relates to the initiation of the alternative lengthening of telomeres pathway, we investigated telomerase activity and telomere maintenance in Hep-2 cells with and without reduced telomerase activity. We investigated telomerase activity levels in a normal Hep-2 cell line and in residual cells following telomerase inhibition treatment. Additionally, we looked for expression of a marker protein for the alternative lengthening of telomeres mechanism.
In the residual cells, telomerase activity was eliminated. However, these cells had higher levels of the alternative lengthening of telomeres biomarker, suggesting an alternative mechanism for telomere maintenance following telomerase inhibition. These results could have a major impact on the design of new cancer treatments."
